"filename", "language", "JSON", "UnityShader", "C#", "comment", "blank", "total"
"c:\Users\Joe\Anamnesis\Assets\Resources\PerformanceTestRunInfo.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\Joe\Anamnesis\Assets\Resources\PerformanceTestRunSettings.json", "JSON", 1, 0, 0, 0, 0, 1
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", 0, 0, 63, 29, 37, 129
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", 0, 0, 59, 37, 40, 136
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", 0, 0, 65, 6, 27, 98
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", 0, 0, 73, 1, 19, 93
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", 0, 0, 41, 26, 19, 86
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", 0, 0, 198, 25, 69, 292
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", 0, 0, 31, 5, 16, 52
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", 0, 0, 15, 0, 5, 20
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", 0, 0, 23, 4, 9, 36
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs", "C#", 0, 0, 50, 4, 13, 67
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs", "C#", 0, 0, 33, 5, 14, 52
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs", "C#", 0, 0, 24, 15, 20, 59
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs", "C#", 0, 0, 95, 18, 46, 159
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs", "C#", 0, 0, 19, 5, 4, 28
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs", "C#", 0, 0, 37, 9, 19, 65
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs", "C#", 0, 0, 91, 11, 33, 135
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs", "C#", 0, 0, 93, 7, 6, 106
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs", "C#", 0, 0, 56, 1, 17, 74
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs", "C#", 0, 0, 172, 36, 56, 264
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs", "C#", 0, 0, 409, 97, 147, 653
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs", "C#", 0, 0, 100, 17, 41, 158
