"filename", "language", "C#", "JSON", "UnityShader", "comment", "blank", "total"
"c:\Users\Joe\Anamnesis\Assets\Resources\PerformanceTestRunInfo.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\Joe\Anamnesis\Assets\Resources\PerformanceTestRunSettings.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", 63, 0, 0, 29, 37, 129
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", 59, 0, 0, 37, 40, 136
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", 65, 0, 0, 6, 27, 98
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", 73, 0, 0, 1, 19, 93
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", 41, 0, 0, 26, 19, 86
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", 198, 0, 0, 25, 69, 292
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", 31, 0, 0, 5, 16, 52
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", 15, 0, 0, 0, 5, 20
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", 23, 0, 0, 4, 9, 36
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs", "C#", 50, 0, 0, 4, 13, 67
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs", "C#", 33, 0, 0, 5, 14, 52
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs", "C#", 24, 0, 0, 15, 20, 59
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs", "C#", 95, 0, 0, 18, 46, 159
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs", "C#", 19, 0, 0, 5, 4, 28
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs", "C#", 37, 0, 0, 9, 19, 65
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs", "C#", 91, 0, 0, 11, 33, 135
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs", "C#", 93, 0, 0, 7, 6, 106
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs", "C#", 56, 0, 0, 1, 17, 74
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs", "C#", 172, 0, 0, 36, 56, 264
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs", "C#", 409, 0, 0, 97, 147, 653
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs", "C#", 100, 0, 0, 17, 41, 158
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs", "C#", 250, 0, 0, 191, 107, 548
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs", "C#", 96, 0, 0, 1, 28, 125
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs", "C#", 55, 0, 0, 6, 24, 85
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs", "C#", 40, 0, 0, 15, 28, 83
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs", "C#", 79, 0, 0, 13, 29, 121
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs", "C#", 135, 0, 0, 32, 57, 224
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs", "C#", 46, 0, 0, 13, 21, 80
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs", "C#", 48, 0, 0, 13, 24, 85
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs", "C#", 105, 0, 0, 26, 44, 175
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs", "C#", 99, 0, 0, 23, 39, 161
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs", "C#", 112, 0, 0, 29, 44, 185
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs", "C#", 112, 0, 0, 32, 48, 192
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs", "C#", 87, 0, 0, 15, 43, 145
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, 0, 130, 18, 31, 179
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, 0, 113, 2, 31, 146
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, 0, 123, 3, 30, 156
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, 0, 113, 2, 31, 146
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, 0, 253, 4, 70, 327
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, 0, 253, 4, 65, 322
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader", "UnityShader", 0, 0, 198, 10, 51, 259
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader", "UnityShader", 0, 0, 193, 8, 52, 253
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader", "UnityShader", 0, 0, 82, 4, 21, 107
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader", "UnityShader", 0, 0, 290, 15, 85, 390
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "UnityShader", 0, 0, 192, 8, 51, 251
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "UnityShader", 0, 0, 104, 8, 28, 140
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "UnityShader", 0, 0, 123, 4, 33, 160
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "UnityShader", 0, 0, 253, 4, 70, 327
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "UnityShader", 0, 0, 111, 0, 21, 132
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMPro.cginc", "UnityShader", 0, 0, 63, 2, 20, 85
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "UnityShader", 0, 0, 129, 2, 35, 166
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "UnityShader", 0, 0, 62, 6, 13, 81
"c:\Users\Joe\Anamnesis\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "UnityShader", 0, 0, 75, 7, 18, 100
"c:\Users\Joe\Anamnesis\Assets\scripts\DamageIndicator\DamageIndicator.cs", "C#", 32, 0, 0, 0, 9, 41
"c:\Users\Joe\Anamnesis\Assets\scripts\DamageIndicator\DamageIndicatorSpawner.cs", "C#", 21, 0, 0, 0, 2, 23
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EnemyStats.cs", "C#", 16, 0, 0, 0, 2, 18
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\BossBarUI.cs", "C#", 40, 0, 0, 0, 13, 53
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\Enemy.cs", "C#", 4, 0, 0, 0, 1, 5
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\EnemyAttackHandler.cs", "C#", 127, 0, 0, 0, 30, 157
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\EnemyMovement.cs", "C#", 126, 0, 0, 0, 24, 150
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\Spawner\EnemySpawnController.cs", "C#", 40, 0, 0, 0, 8, 48
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\Spawner\EnemySpawner.cs", "C#", 11, 0, 0, 0, 1, 12
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Entity.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityGearManager.cs", "C#", 50, 0, 0, 0, 8, 58
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityHealth.cs", "C#", 289, 0, 0, 0, 56, 345
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityProjectileHandler.cs", "C#", 135, 0, 0, 0, 14, 149
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityStatManager.cs", "C#", 242, 0, 0, 0, 22, 264
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityStats.cs", "C#", 145, 0, 0, 2, 10, 157
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntitySummonHandler.cs", "C#", 153, 0, 0, 0, 30, 183
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\PlayerStats.cs", "C#", 5, 0, 0, 10, 3, 18
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\Player.cs", "C#", 8, 0, 0, 0, 1, 9
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerAttackCooldownUI.cs", "C#", 42, 0, 0, 0, 12, 54
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerAttackHandler.cs", "C#", 207, 0, 0, 0, 39, 246
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerControls.cs", "C#", 631, 0, 0, 292, 27, 950
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerDashCooldownUI.cs", "C#", 34, 0, 0, 0, 8, 42
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerInputHandler.cs", "C#", 37, 0, 0, 0, 7, 44
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerMana.cs", "C#", 16, 0, 0, 0, 3, 19
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerMovement.cs", "C#", 117, 0, 0, 0, 24, 141
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerStamina.cs", "C#", 42, 0, 0, 0, 7, 49
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUI.cs", "C#", 83, 0, 0, 0, 16, 99
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrade.cs", "C#", 34, 0, 0, 0, 1, 35
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgradeManager.cs", "C#", 122, 0, 0, 0, 11, 133
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\AdditionalDamage.cs", "C#", 25, 0, 0, 0, 7, 32
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\CooldownAdvance.cs", "C#", 22, 0, 0, 0, 3, 25
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\Decoy.cs", "C#", 43, 0, 0, 0, 12, 55
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\GainMana.cs", "C#", 12, 0, 0, 0, 1, 13
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\HexCast.cs", "C#", 3, 0, 0, 0, 1, 4
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\Paradox.cs", "C#", 3, 0, 0, 0, 1, 4
